time_ns,x,y,theta,omega
41040100,0.04156549447906899,-0.18148242110994273,-0.134500559309367,0.43189339885148303
42040100,0.04255646290656291,-0.18161651650773927,-0.13406856315871524,0.4319961506517635
43040100,0.04354748917028311,-0.18175018379849056,-0.13363646506000534,0.43209809870986965
44040100,0.04453857309886706,-0.18188342285621242,-0.13320426581684128,0.43219924316406
45040100,0.04552971452070377,-0.1820162335557795,-0.13277196623269227,0.4322995841490023
46040100,0.04652091326393518,-0.1821486157729254,-0.13233956711088765,0.4323991218046138
47040100,0.047512169156457534,-0.18228056938424286,-0.1319070692546151,0.432497856272551
48040100,0.048503482025922744,-0.1824120942671839,-0.13147447346692248,0.43259578769261514
49040100,0.04949485169973981,-0.18254319030005997,-0.13104178055070898,0.4326929162134671
50040100,0.05048627800507619,-0.1826738573620421,-0.1306089913087324,0.43278924197657725
51040100,0.05147776076885921,-0.18280409533316108,-0.13017610654360195,0.4328847651304439
52040100,0.05246929981777742,-0.18293390409430754,-0.12974312705777302,0.4329794858289014
53040100,0.053460894978282006,-0.18306328352723214,-0.12931005365355805,0.4330734042149721
54040100,0.05445254607658818,-0.18319223351454567,-0.12887688713311216,0.43316652044589665
55040100,0.05544425293867657,-0.18332075393971922,-0.1284436282984333,0.4332588346788193
56040100,0.05643601539029463,-0.1834488446870843,-0.1280102779513696,0.43335034706370273
57040100,0.05742783325695799,-0.183576505641833,-0.12757683689360846,0.43344105776112757
58040100,0.05841970636395189,-0.18370373669001802,-0.1271433059266769,0.43353096693158577
59040100,0.05941163453633259,-0.18383053771855287,-0.12670968585194492,0.43362007473196257
60040100,0.060403617598928705,-0.183956908615212,-0.12627597747061522,0.43370838132969974
61040100,0.061395655376342666,-0.18408284926863086,-0.12584218158372837,0.4337958868868637
62040100,0.062387747692952085,-0.18420835956830606,-0.12540829899216116,0.43388259156720965
63040100,0.06337989437291117,-0.18433343940459543,-0.12497433049661785,0.4339684955433156
64040100,0.0643720952401521,-0.1844580886687182,-0.12454027689763553,0.4340535989823297
65040100,0.06536435011838646,-0.18458230725275507,-0.12410613899558243,0.4341379020531035
66040100,0.06635665883110661,-0.18470609504964822,-0.12367191759065088,0.4342214049315428
67040100,0.06734902120158714,-0.18482945195320155,-0.12323761348286101,0.43430410778987305
68040100,0.0683414370528862,-0.18495237785808072,-0.12280322747205542,0.4343860108055908
69040100,0.06933390620784695,-0.18507487265981323,-0.12236876035789931,0.4344671141561143
70040100,0.07032642848909897,-0.1851969362547885,-0.12193421293988055,0.43454741801876257
71040100,0.07131900371905964,-0.18531856854025797,-0.12149958601730267,0.4346269225778964
72040100,0.07231163171993556,-0.1854397694143352,-0.12106488038928846,0.43470562801419743
73040100,0.07330431231372395,-0.18556053877599593,-0.12063009685477663,0.4347835345118365
74040100,0.07429704532221407,-0.18568087652507811,-0.12019523621251817,0.4348606422584671
75040100,0.07528983056698861,-0.18580078256228208,-0.11976029926107835,0.43493695143981304
