[VIZ] t=15.4s  y=-0.0136  err=0.0136
[VIZ] t=15.5s  y=-0.0153  err=0.0153
[VIZ] t=15.6s  y=-0.0167  err=0.0167
[VIZ] t=15.7s  y=-0.0178  err=0.0178
[VIZ] t=15.8s  y=-0.0186  err=0.0186
[VIZ] t=15.9s  y=-0.0190  err=0.0190
[VIZ] t=16.0s  y=-0.0192  err=0.0192
[VIZ] t=16.1s  y=-0.0190  err=0.0190
[VIZ] t=16.2s  y=-0.0186  err=0.0186
[VIZ] t=16.3s  y=-0.0178  err=0.0178
[VIZ] t=16.4s  y=-0.0169  err=0.0169
[VIZ] t=16.5s  y=-0.0157  err=0.0157
[VIZ] t=16.6s  y=-0.0143  err=0.0143
[VIZ] t=16.7s  y=-0.0128  err=0.0128
[VIZ] t=16.8s  y=-0.0112  err=0.0112
[VIZ] t=16.9s  y=-0.0095  err=0.0095
[VIZ] t=17.0s  y=-0.0077  err=0.0077
[VIZ] t=17.1s  y=-0.0060  err=0.0060
[VIZ] t=17.2s  y=-0.0042  err=0.0042
[VIZ] t=17.3s  y=-0.0026  err=0.0026
[VIZ] t=17.4s  y=-0.0010  err=0.0010
[VIZ] t=17.5s  y=0.0005  err=0.0005
[VIZ] t=17.6s  y=0.0018  err=0.0018
[VIZ] t=17.7s  y=0.0029  err=0.0029
[VIZ] t=17.8s  y=0.0039  err=0.0039
[VIZ] t=17.9s  y=0.0047  err=0.0047
[VIZ] t=18.0s  y=0.0054  err=0.0054
[VIZ] t=18.1s  y=0.0058  err=0.0058
[VIZ] t=18.2s  y=0.0060  err=0.0060
[VIZ] t=18.3s  y=0.0060  err=0.0060
[VIZ] t=18.4s  y=0.0059  err=0.0059
[VIZ] t=18.5s  y=0.0056  err=0.0056
[VIZ] t=18.6s  y=0.0051  err=0.0051
[VIZ] t=18.7s  y=0.0045  err=0.0045
[VIZ] t=18.8s  y=0.0038  err=0.0038
[VIZ] t=18.9s  y=0.0029  err=0.0029
[VIZ] t=19.0s  y=0.0020  err=0.0020
[VIZ] t=19.1s  y=0.0010  err=0.0010
[VIZ] t=19.2s  y=0.0000  err=0.0000
[VIZ] t=19.3s  y=-0.0010  err=0.0010
Killed
[?2004h]0;ubuntu@ip-10-10-8-146: ~/LineFollower_Successubuntu@ip-10-10-8-146:~/LineFollower_Success$ 
